Epochs,Training loss,Validation loss
1,2.9364185333251953,2.6082632541656494
2,2.5649735927581787,2.5453531742095947
3,2.4920411109924316,2.4903342723846436
4,2.4526798725128174,2.465080976486206
5,2.4176127910614014,2.42880916595459
6,2.384148359298706,2.389374256134033
7,2.3464202880859375,2.3698182106018066
8,2.3165123462677,2.354477643966675
9,2.3002498149871826,2.340198278427124
10,2.2836451530456543,2.326005458831787
11,2.261030673980713,2.307952404022217
12,2.2435262203216553,2.295742988586426
13,2.2275028228759766,2.2809524536132812
14,2.217294692993164,2.2863783836364746
15,2.2099950313568115,2.2709038257598877
16,2.200315475463867,2.263896942138672
17,2.191924571990967,2.2572591304779053
18,2.183873414993286,2.251004934310913
19,2.1762096881866455,2.2451534271240234
20,2.1689226627349854,2.2396795749664307
21,2.1619489192962646,2.234503984451294
22,2.155156135559082,2.2294700145721436
23,2.1482741832733154,2.2242448329925537
24,2.1405627727508545,2.217764139175415
25,2.1271629333496094,2.191938638687134
26,2.0896289348602295,2.1500909328460693
27,2.0594639778137207,2.141422748565674
28,2.052567720413208,2.137432336807251
29,2.047701597213745,2.1344122886657715
30,2.0435333251953125,2.1318628787994385
31,2.039776563644409,2.1296234130859375
32,2.0363190174102783,2.1276206970214844
33,2.03310227394104,2.1258130073547363
34,2.030090570449829,2.1241726875305176
35,2.027257204055786,2.122678756713867
36,2.024582624435425,2.1213135719299316
37,2.02205228805542,2.120065689086914
38,2.0196516513824463,2.118924140930176
39,2.0173702239990234,2.1178784370422363
40,2.0151984691619873,2.1169188022613525
41,2.0131278038024902,2.1160409450531006
42,2.011150598526001,2.1152353286743164
43,2.0092601776123047,2.1144981384277344
44,2.0074503421783447,2.1138229370117188
45,2.005715847015381,2.113205671310425
46,2.004051685333252,2.112640857696533
47,2.002453565597534,2.1121251583099365
48,2.0009169578552246,2.1116554737091064
49,1.9994388818740845,2.1112282276153564
50,1.9980148077011108,2.1108412742614746
51,1.996642827987671,2.110490322113037
52,1.9953192472457886,2.110172986984253
53,1.994041919708252,2.1098875999450684
54,1.9928072690963745,2.1096320152282715
55,1.9916142225265503,2.1094048023223877
56,1.9904601573944092,2.1092026233673096
57,1.989342451095581,2.1090235710144043
58,1.9882606267929077,2.1088690757751465
59,1.9872115850448608,2.108733892440796
60,1.9861944913864136,2.10861873626709
61,1.985207200050354,2.1085221767425537
62,1.9842489957809448,2.1084418296813965
63,1.9833179712295532,2.1083786487579346
64,1.9824135303497314,2.1083295345306396
65,1.9815336465835571,2.108294725418091
66,1.9806777238845825,2.108274221420288
67,1.979845404624939,2.108264923095703
68,1.9790349006652832,2.1082677841186523
69,1.978245496749878,2.108281135559082
70,1.977475881576538,2.1083054542541504
71,1.9767261743545532,2.1083409786224365
72,1.9759950637817383,2.1083834171295166
73,1.975282073020935,2.1084351539611816
74,1.974586009979248,2.1084976196289062
75,1.9739071130752563,2.108565092086792
76,1.9732438325881958,2.1086416244506836
77,1.9725964069366455,2.1087253093719482
78,1.97196364402771,2.1088154315948486
79,1.9713454246520996,2.1089115142822266
80,1.9707415103912354,2.1090147495269775
81,1.9701511859893799,2.1091246604919434
82,1.969573974609375,2.109239339828491
83,1.9690091609954834,2.109358310699463
84,1.968456506729126,2.1094844341278076
85,1.9679160118103027,2.1096150875091553
86,1.9673867225646973,2.109750986099243
87,1.9668689966201782,2.1098897457122803
88,1.9663619995117188,2.1100339889526367
89,1.9658656120300293,2.110183000564575
90,1.9653794765472412,2.1103360652923584
91,1.9649027585983276,2.1104938983917236
92,1.9644361734390259,2.1106536388397217
93,1.96397864818573,2.1108171939849854
94,1.9635308980941772,2.110985517501831
95,1.9630911350250244,2.111156463623047
96,1.9626604318618774,2.1113321781158447
97,1.96223783493042,2.1115102767944336
98,1.9618239402770996,2.1116907596588135
99,1.9614174365997314,2.1118741035461426
100,1.9610188007354736,2.1120615005493164
